,TRANS_CIS,WEIGHT_CISGENDER_TRANSPOP,Q88,HINC_I,AGE,Q85,RACE_RECODE_CAT5,Q93,SEX,GENDER_IDENTITY,POVERTYCAT_I,Q99,Q200,Q205_I,GEDUCATION,HINC_I_means,HINC_I_strat,CURRENT_SEX
510,0,0.6338641743576,0,10,0.458602077835148,1,1,4,1,2,4,1,1,1,5,-0.053702511289635234,1,1
511,0,1.6729275373117,0,13,0.2804033858724833,1,1,4,0,1,4,0,1,2,4,1.6825661031941237,2,0
512,0,1.9556019428156,0,6,0.8149994617604774,1,1,2,1,2,3,1,0,1,4,-0.8955297183120637,0,1
513,0,1.4067926289006,0,10,-1.3233848417914993,0,1,4,1,2,4,0,0,2,4,-0.053702511289635234,1,1
514,0,0.2715193467953,0,12,0.6368007697978127,1,1,3,0,1,4,0,1,4,6,1.1564240988051058,2,0
515,0,2.501769315592,0,7,0.2804033858724833,1,4,2,1,2,3,0,1,2,2,-0.7376871169953584,0,1
516,0,0.9884594348411,0,13,-0.3729918179906207,1,1,4,0,1,4,0,1,5,5,1.6825661031941237,2,0
517,0,0.7262591021524,1,4,0.458602077835148,1,1,2,0,1,2,1,0,1,4,-1.1059865200676708,0,0
518,0,0.6712767746448,0,11,0.5774012058102579,1,1,3,0,1,4,0,0,2,4,0.2619826913437755,1,0
519,0,0.747588189752,0,11,1.111997281698252,1,1,4,1,2,4,0,0,2,4,0.2619826913437755,1,1
520,0,2.3591224638861,0,2,0.5180016418227029,0,1,2,1,2,1,1,1,1,2,-1.316443321823278,0,1
521,1,0.0303920269549,1,0,0.9337985897355873,1,1,2,1,5,1,1,1,1,2,-1.4742859231399834,0,1
522,0,2.5745747712811,0,12,-1.3827844057790541,1,2,4,1,2,4,0,0,1,6,1.1564240988051058,2,1
523,0,0.9581371812896,0,12,0.7555998977729226,1,1,5,1,2,4,0,1,1,6,1.1564240988051058,2,1
524,0,1.5414945183598,0,10,-0.3135922540030658,1,1,3,1,2,4,0,0,1,6,-0.053702511289635234,1,1
525,0,0.2983540771035,0,10,0.8743990257480324,0,1,3,0,1,4,0,1,1,5,-0.053702511289635234,1,0
526,0,1.3848054662256,0,13,-0.3135922540030658,1,4,4,1,2,4,0,1,4,6,1.6825661031941237,2,1
527,0,0.449656649728,0,10,-0.19479312602795598,1,3,3,0,1,4,0,1,2,4,-0.053702511289635234,1,0
528,1,0.0150181898872,0,8,-1.1451861498288345,1,3,5,1,3,2,0,1,4,6,-0.5272303152397513,0,0
529,1,0.0167092597653,0,5,-1.6203826617292738,1,1,5,0,4,2,0,0,1,5,-1.0007581191898673,0,1
530,1,0.005419365725,0,0,0.2804033858724833,1,4,4,0,5,1,0,0,1,5,-1.4742859231399834,0,0
531,1,0.0052828473032,0,11,0.5774012058102579,1,1,4,0,4,4,0,1,1,6,0.2619826913437755,1,1
532,1,0.0090896509185,0,7,-1.9173804816670483,0,1,4,0,5,2,0,0,3,4,-0.7376871169953584,0,0
533,1,0.0210070945367,0,3,-1.560983097741719,1,4,3,1,3,1,0,0,1,5,-1.2112149209454746,0,0
534,1,0.0628910393237,1,10,-1.9767800456546032,0,1,3,1,5,3,0,0,5,2,-0.053702511289635234,1,1
535,1,0.0339834051246,1,4,-0.13539356204040107,1,1,5,0,4,2,1,0,1,2,-1.1059865200676708,0,1
536,1,0.0138759912098,0,10,-1.9767800456546032,0,1,2,1,3,3,0,0,4,4,-0.053702511289635234,1,0
537,1,0.0077500523428,0,12,-1.3233848417914993,0,1,4,0,4,4,0,0,1,5,1.1564240988051058,2,1
538,1,0.0503866090228,1,8,-0.016594434065291246,0,1,4,0,4,3,0,1,3,2,-0.5272303152397513,0,1
539,1,0.0314063947,0,9,-1.2639852778039444,1,5,5,0,4,4,0,0,1,6,-0.3167735134841442,1,1
540,1,0.0223765304129,0,7,1.111997281698252,1,1,2,0,4,2,1,1,4,2,-0.7376871169953584,0,1
541,1,0.0087671328527,0,8,-1.3233848417914993,0,1,4,0,5,4,0,0,1,6,-0.5272303152397513,0,0
542,1,0.023196605313,1,6,-1.0263870218537248,0,1,3,0,4,3,0,1,1,4,-0.8955297183120637,0,1
543,1,0.0073628664335,0,11,-0.84818832989106,1,1,4,0,5,4,0,0,2,5,0.2619826913437755,1,0
544,1,0.0052828473032,0,11,0.042805129922263666,1,1,4,1,5,4,0,1,4,6,0.2619826913437755,1,1
545,1,0.0052828473032,0,3,0.458602077835148,1,1,2,1,3,1,1,0,0,4,-1.2112149209454746,0,0
546,1,0.0538158393043,0,7,-2.0361796096421583,1,1,4,1,3,2,0,0,4,4,-0.7376871169953584,0,0
547,1,0.0193201838828,1,11,-1.9767800456546032,0,1,2,1,5,3,0,0,5,4,0.2619826913437755,1,1
548,1,0.008829905343,0,1,0.042805129922263666,1,3,2,0,4,1,1,0,1,4,-1.4216717227010816,0,1
549,1,0.0196893588291,0,9,-1.442183969766609,1,1,3,1,3,4,0,0,1,6,-0.3167735134841442,1,0
550,1,0.0052828473032,1,2,1.111997281698252,1,3,2,0,4,1,1,1,2,4,-1.316443321823278,0,1
551,1,0.0155525721064,0,13,-0.5511905099532854,0,3,5,0,4,4,0,1,6,3,1.6825661031941237,2,1
552,1,0.0052828473032,1,6,1.111997281698252,1,5,4,1,3,3,0,1,1,5,-0.8955297183120637,0,0
553,1,0.0052828473032,0,9,-0.19479312602795598,1,1,4,0,4,4,0,0,1,3,-0.3167735134841442,1,1
554,1,0.0162403665951,0,12,-1.1451861498288345,1,1,3,1,5,4,0,0,2,5,1.1564240988051058,2,1
